Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FO","Forestry Production and Trade","23","Belize","5516","Production","1627","Wood fuel, coniferous","2009","2009","m3","0","F","FAO estimate"
"FO","Forestry Production and Trade","23","Belize","5516","Production","1627","Wood fuel, coniferous","2010","2010","m3","0","F","FAO estimate"
"FO","Forestry Production and Trade","23","Belize","5516","Production","1627","Wood fuel, coniferous","2011","2011","m3","0","F","FAO estimate"
"FO","Forestry Production and Trade","23","Belize","5516","Production","1627","Wood fuel, coniferous","2012","2012","m3","0","F","FAO estimate"
"FO","Forestry Production and Trade","23","Belize","5516","Production","1627","Wood fuel, coniferous","2013","2013","m3","0","F","FAO estimate"
"FO","Forestry Production and Trade","23","Belize","5516","Production","1627","Wood fuel, coniferous","2014","2014","m3","0","F","FAO estimate"
"FO","Forestry Production and Trade","23","Belize","5516","Production","1627","Wood fuel, coniferous","2015","2015","m3","0","F","FAO estimate"
"FO","Forestry Production and Trade","23","Belize","5516","Production","1627","Wood fuel, coniferous","2016","2016","m3","0","F","FAO estimate"
"FO","Forestry Production and Trade","23","Belize","5516","Production","1627","Wood fuel, coniferous","2017","2017","m3","0","F","FAO estimate"
"FO","Forestry Production and Trade","23","Belize","5516","Production","1628","Wood fuel, non-coniferous","1961","1961","m3","39000","","Official data"
"FO","Forestry Production and Trade","23","Belize","5516","Production","1628","Wood fuel, non-coniferous","1962","1962","m3","39000","","Official data"
"FO","Forestry Production and Trade","23","Belize","5516","Production","1628","Wood fuel, non-coniferous","1963","1963","m3","40000","","Official data"
"FO","Forestry Production and Trade","23","Belize","5516","Production","1628","Wood fuel, non-coniferous","1964","1964","m3","45000","","Official data"
"FO","Forestry Production and Trade","23","Belize","5516","Production","1628","Wood fuel, non-coniferous","1965","1965","m3","50000","","Official data"
"FO","Forestry Production and Trade","23","Belize","5516","Production","1628","Wood fuel, non-coniferous","1966","1966","m3","55000","F","FAO estimate"
"FO","Forestry Production and Trade","23","Belize","5516","Production","1628","Wood fuel, non-coniferous","1967","1967","m3","60000","F","FAO estimate"
"FO","Forestry Production and Trade","23","Belize","5516","Production","1628","Wood fuel, non-coniferous","1968","1968","m3","60000","F","FAO estimate"
"FO","Forestry Production and Trade","23","Belize","5516","Production","1628","Wood fuel, non-coniferous","1969","1969","m3","65000","F","FAO estimate"
"FO","Forestry Production and Trade","23","Belize","5516","Production","1628","Wood fuel, non-coniferous","1970","1970","m3","65000","F","FAO estimate"
"FO","Forestry Production and Trade","23","Belize","5516","Production","1628","Wood fuel, non-coniferous","1971","1971","m3","65000","F","FAO estimate"
"FO","Forestry Production and Trade","23","Belize","5516","Production","1628","Wood fuel, non-coniferous","1972","1972","m3","70000","F","FAO estimate"
"FO","Forestry Production and Trade","23","Belize","5516","Production","1628","Wood fuel, non-coniferous","1973","1973","m3","66000","F","FAO estimate"
"FO","Forestry Production and Trade","23","Belize","5516","Production","1628","Wood fuel, non-coniferous","1974","1974","m3","68000","F","FAO estimate"
"FO","Forestry Production and Trade","23","Belize","5516","Production","1628","Wood fuel, non-coniferous","1975","1975","m3","70000","F","FAO estimate"
"FO","Forestry Production and Trade","23","Belize","5516","Production","1628","Wood fuel, non-coniferous","1976","1976","m3","72000","F","FAO estimate"
"FO","Forestry Production and Trade","23","Belize","5516","Production","1628","Wood fuel, non-coniferous","1977","1977","m3","74000","F","FAO estimate"
"FO","Forestry Production and Trade","23","Belize","5516","Production","1628","Wood fuel, non-coniferous","1978","1978","m3","77000","F","FAO estimate"
"FO","Forestry Production and Trade","23","Belize","5516","Production","1628","Wood fuel, non-coniferous","1979","1979","m3","79000","F","FAO estimate"
"FO","Forestry Production and Trade","23","Belize","5516","Production","1628","Wood fuel, non-coniferous","1980","1980","m3","79000","F","FAO estimate"
"FO","Forestry Production and Trade","23","Belize","5516","Production","1628","Wood fuel, non-coniferous","1981","1981","m3","79000","F","FAO estimate"
